StateCode,Year,Mean_ZRI
NY,2014,1478.8910891089108
NY,2015,1487.516129032258
NY,2016,1483.1184210526317
CA,2014,1535.36476426799
CA,2015,1692.0721393034826
CA,2016,1774.1847290640394
IL,2014,1044.1033434650456
IL,2015,1013.1969230769231
IL,2016,981.8138138138138
TX,2014,1069.3242909987669
TX,2015,1143.9234567901235
TX,2016,1130.2124542124543
PA,2014,1024.4760765550238
PA,2015,1027.0503597122301
PA,2016,1008.1479713603819
DC,2014,1838.0833333333333
DC,2015,1857.0833333333333
DC,2016,1886.8333333333333
FL,2014,1263.8402366863904
FL,2015,1386.5964912280701
FL,2016,1427.5603448275863
GA,2014,909.222972972973
GA,2015,932.0247747747748
GA,2016,951.722972972973
MA,2014,1766.9285714285713
MA,2015,1749.0595238095239
MA,2016,1798.987951807229
MI,2014,916.1395939086294
MI,2015,940.1954314720812
MI,2016,955.2683544303798
AZ,2014,1044.090909090909
AZ,2015,1087.2878787878788
AZ,2016,1129.3863636363637
WA,2014,1099.0791666666667
WA,2015,1163.3375
WA,2016,1226.7208333333333
MN,2014,1205.4524714828897
MN,2015,1235.2681992337166
MN,2016,1227.5247148288972
MO,2014,7199.86
MO,2015,3445.2662116040956
MO,2016,817.3159722222222
MD,2014,1335.6527777777778
MD,2015,1391.7222222222222
MD,2016,1362.0555555555557
CO,2014,1411.9253731343283
CO,2015,1500.9948186528497
CO,2016,1725.8823529411766
OR,2014,1083.3208333333334
OR,2015,1182.9708333333333
OR,2016,1264.9666666666667
NC,2014,962.1904761904761
NC,2015,980.4636752136752
NC,2016,988.8562231759656
OH,2014,890.6321839080459
OH,2015,914.0
OH,2016,923.638783269962
NV,2014,1115.7962962962963
NV,2015,1193.9722222222222
NV,2016,1243.537037037037
IN,2014,842.3410672853828
IN,2015,867.125
IN,2016,882.8958333333334
VA,2014,1051.0625
VA,2015,1090.2777777777778
VA,2016,1110.2152777777778
TN,2014,884.634375
TN,2015,918.7295597484276
TN,2016,927.9
RI,2014,1168.9166666666667
RI,2015,1287.8333333333333
RI,2016,1340.3333333333333
WI,2014,931.5208333333334
WI,2015,941.6491228070175
WI,2016,918.1863799283154
OK,2014,826.031746031746
OK,2015,852.015873015873
OK,2016,853.234126984127
KY,2014,840.9722222222222
KY,2015,847.8928571428571
KY,2016,868.5515873015873
CT,2014,1331.7166666666667
CT,2015,1378.1
CT,2016,1404.2166666666667
LA,2014,1061.860465116279
LA,2015,1107.1342592592594
LA,2016,1101.0185185185185
AL,2014,839.7733333333333
AL,2015,868.95
AL,2016,883.0333333333333
UT,2014,1213.2571428571428
UT,2015,1293.4444444444443
UT,2016,1321.5648148148148
HI,2014,1739.923076923077
HI,2015,2041.2
HI,2016,2185.25
NM,2014,1015.8355555555555
NM,2015,1040.8070175438597
NM,2016,1051.701754385965
NE,2014,988.125
NE,2015,1072.3402777777778
NE,2016,1058.7152777777778
SC,2014,998.391061452514
SC,2015,1051.911111111111
SC,2016,1080.8722222222223
AR,2014,785.8928571428571
AR,2015,801.015873015873
AR,2016,806.3769841269841
KS,2014,897.3625
KS,2015,913.5416666666666
KS,2016,891.1375
ID,2014,908.202380952381
ID,2015,961.4702380952381
ID,2016,1004.3690476190476
IA,2014,909.2916666666666
IA,2015,948.0381944444445
IA,2016,949.0277777777778
MS,2014,873.9015151515151
MS,2015,898.2911877394636
MS,2016,932.0498084291188
ME,2014,998.8958333333334
ME,2015,1129.9791666666667
ME,2016,1127.8125
NH,2014,1206.138888888889
NH,2015,1230.1971830985915
NH,2016,1290.1666666666667
AK,2014,1419.4893617021276
AK,2015,1585.5
AK,2016,1556.6875
NJ,2014,1419.4468085106382
NJ,2015,1451.8125
NJ,2016,1465.0625
WV,2014,905.2083333333334
WV,2015,943.4097222222222
WV,2016,906.8402777777778
SD,2014,887.288
SD,2015,964.296
SD,2016,993.776923076923
VT,2014,1311.1
VT,2015,1491.4878048780488
VT,2016,1664.888888888889
ND,2014,1406.1685393258426
ND,2015,1495.7096774193549
ND,2016,1135.621052631579
DE,2014,1130.9166666666667
DE,2015,1187.5833333333333
DE,2016,1225.5
MT,2014,1050.8333333333333
MT,2015,1117.7261904761904
MT,2016,1172.9880952380952
WY,2014,1068.4074074074074
WY,2015,1151.2314814814815
WY,2016,1111.4351851851852
